計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2024/07/11,口座振替 RTK メルペイ,-32277,三菱UFJ銀行,日用品,hl_shop,,0,uwXkWP1bnP02RJ7CdM9Uqzr0q2MxqMN_z47AbZ-gShI
1,2024/07/11,アースノーマット コールマン 本体 電池式 コードレス 蚊除け 屋内 屋外 蚊 対策 駆除 無香 180日 販売: アマゾンジャパン合同会社,-900,Amazon.co.jp,日用品,hl_shop,"",0,AxNTPUN4SYywRNr2pjeigGhbI3UCdpfAxsCJF2FTM_w
1,2024/07/11,パートナーポイント,36,Amazon.co.jp,収入,ポイント,,0,Qpv1HiLeUWtMjRd200g66fXmZDrhgoBQboueCbWyAAY
1,2024/07/11,【Amazon.co.jp限定】【まとめ買い】熱中対策にも使える! ビオレ冷シート 無香料 3個セット 販売: アマゾンジャパン合同会社,-1399,Amazon.co.jp,日用品,hl_shop,"",0,4O7lbeAXa0wZq0IOZRlP6pUkZuwLuVhHxUAlQF7o4zc
1,2024/07/11,【Amazon.co.jp限定】【まとめ買い】熱中対策にも使える! ビオレ冷タオル3個セット(5本入×3個セット) 無香 販売: アマゾンジャパン合同会社,-1670,Amazon.co.jp,日用品,hl_shop,"",0,AFGxfujOkcSiWxl6ZGr5ASAZdaZasvJnGd5ENKOhYWk
1,2024/07/11,パートナーポイント,724,Amazon.co.jp,収入,ポイント,,0,8ErtuPU7vtctAazylaflyOrrUjBMJrtBzdgvjNdPpXQ
0,2024/07/10,ジドウソウキン,-80000,Smbc,未分類,未分類,,1,bFewKpmEr4HXUBxlskA-4SsZh21sg0Rq7MxAtUOQD2Y
1,2024/07/07,口座振替 RTK ペイペイ,-10000,三菱UFJ銀行,食費,hl_foods,,0,UMsC1W2MoRsmPmA7rrWFvLo-H4yBAX0ekMl_SR9jLPc
1,2024/07/07,QP/ヨコハマベイクオ-タ-,-3980,エポスカード,食費,hl_foods,"",0,ayIsD-TzmecImlqneonXdW399av4RbQuXcr_AKBKgZo
1,2024/07/06,QP/エキユ-トニツポリ,-736,エポスカード,食費,hl_foods,,0,gcT_fYwM5zUfsvFTNqpPCizcLGL0d3SQ0F6hrWa7yck
