計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2023/12/01,【パンツ Lサイズ】パンパース オムツ さらさらケア (9~14kg) 224枚(56枚×4パック) [ケース品] 【Amazon.co.jp限定】 販売: アマゾンジャパン合同会社,-6480,Amazon.co.jp,日用品,hl_shop,,0,YoneQdzFDCgy3MlbqcBTF8N6hv2JblyMFCfYQ5jjbdo
1,2023/12/01,割引,1295,Amazon.co.jp,収入,ポイント,,0,w30Cjb6WQiHMckqek-CoDZnXx07OWxhztXoPhyYvNJE
1,2023/12/01,無印良品 パイン材ユニットシェルフ 小 幅86×奥行26×高さ83cm 61182438 販売: アマゾンジャパン合同会社,-8990,Amazon.co.jp,日用品,hl_shop,,0,C7Vzi-w3Z304YUA6wWyeN71OqNUvWvBnLQNXgp6Fu0c
1,2023/12/01,物販,-525,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,06DtZlohwkd8lxuaCtYXgmMHZAQGP5WHbYSyx_U7qUQ
0,2023/11/30,AMAZON.CO.JP,-880,三井住友カード,食費,その他食費,,1,K5Jav7hAXF4pD2oobYFJSg
0,2023/11/30,AMAZON.CO.JP,-591,三井住友カード,食費,その他食費,,1,Z5Vz2fjQT6DwjKftZkvj2A
0,2023/11/30,AMAZON.CO.JP,-1494,三井住友カード,食費,その他食費,,1,cNfII0Q92GWaGZ2ipMQVcw
0,2023/11/30,AMAZON.CO.JP,-2639,三井住友カード,食費,その他食費,,1,YAIs_Sg_iNPmTFNJTFhXxA
0,2023/11/30,AMAZON.CO.JP,-2380,三井住友カード,食費,その他食費,,1,vGx4_9ThxvFLTCRhEU6wiA
0,2023/11/30,AMAZON.CO.JP,-1494,三井住友カード,食費,その他食費,,1,K7qanM0hPkzMtwtVU9qM9A
0,2023/11/30,AMAZON.CO.JP,-2809,三井住友カード,食費,その他食費,,1,ZLFqFXBFhLFGqeBrfP3Hyw
0,2023/11/30,AMAZON.CO.JP,-6548,三井住友カード,食費,その他食費,,1,Dq4c0ROSVVObfWJPi1q1Mg
0,2023/11/30,AMAZON.CO.JP,-1744,三井住友カード,食費,その他食費,,1,yv85f41NUsesIUiAJlOqDw
0,2023/11/30,AMAZON.CO.JP,-2180,三井住友カード,食費,その他食費,,1,OAnzivLrDMFbWEgrrdOuAA
0,2023/11/30,AMAZON.CO.JP,-1039,三井住友カード,食費,その他食費,,1,jU2tDzTghAf9oaUZ-ni9ew
0,2023/11/30,AMAZON.CO.JP,-924,三井住友カード,食費,その他食費,,1,y_UFWSjlccHy1yQGwWX5jg
0,2023/11/30,AMAZON.CO.JP,-2948,三井住友カード,食費,その他食費,,1,2CU-BmgS2iieOADhte4J6A
1,2023/11/30,Amazonプライム会費,-600,三井住友カード,日用品,hl_shop,"",0,cCpC7u-Ztj1W_yhVYp66Jg
1,2023/11/30,ペイペイ*セブンイレブン,-1425,エポスカード,食費,hl_foods,,0,3h4OgzHqrHgvhCuyqCkN0A
1,2023/11/30,タイムズカー,-880,エポスカード,住宅,hl_living,"",0,RE0DbGcSPhltPShAoWSFit1-_pVcBlIP7-ADJhXVBs0
1,2023/11/30,口座振替 RTK ペイペイ,-10000,三菱UFJ銀行,食費,hl_foods,,0,b12plDKoCBrRWiiRHR15xSeuYXJTV6SFtX2RtQ3qmoc
1,2023/11/30,振込IB2 マ ヴアン チヤン,-6596,三菱UFJ銀行,趣味・娯楽,hl_exp,"",0,edBDYJl_l0KxLeFuGGPuSALmVP1h7Cqk6hvLj82eaqo
